,Name,ID,State,Network,County,Elevation_feet,Latitude,Longitude
0,Adamsville,DADV,DE,DEOS,Kent,43,38.833,-75.683
1,Atglen,DWHW,DE,DEOS,Chester,663,39.917,-75.983
2,Bethany_Beach,DBNG,DE,DEOS,Sussex,7,38.55,-75.067
3,Blackbird,DBKB,DE,DEOS,New_Castle,41,39.383,-75.633
4,Blackiston,DBLK,DE,DEOS,Kent,56,39.233,-75.733
5,Bridgeville,DBRG,DE,DEOS,Sussex,36,38.717,-75.583
6,Chester_Springs,DWPK,DE,DEOS,Chester,354,40.083,-75.617
7,Claymont,DCLY,DE,DEOS,New_Castle,102,39.817,-75.45
8,Dagsboro,DDAG,DE,DEOS,Sussex,23,38.55,-75.233
9,Dover,DPAR,DE,DEOS,Kent,36,39.15,-75.5
10,Ellendale,DELN,DE,DEOS,Sussex,49,38.8,-75.433
11,Fair_Hill,DFHM,DE,DEOS,Chester,150,39.717,-75.833
12,Georgetown,DGES,DE,DEOS,Sussex,45,38.633,-75.45
13,Glasgow,DGLW,DE,DEOS,New_Castle,63,39.6,-75.733
14,Glenmoore,DSGM,DE,DEOS,Chester,620,40.067,-75.783
15,Greenville,DGRN,DE,DEOS,New_Castle,427,39.8,-75.6
16,Gumboro,DGUM,DE,DEOS,Sussex,43,38.483,-75.367
17,Harbeson,DWAR,DE,DEOS,Sussex,33,38.683,-75.25
18,Harrington,DHAR,DE,DEOS,Kent,55,38.917,-75.583
19,Hockessin,DHOC,DE,DEOS,New_Castle,253,39.783,-75.7
20,Hockessin,DMTC,DE,DEOS,New_Castle,294,39.783,-75.65
21,Jones_Crossroads,DJCR,DE,DEOS,Sussex,61,38.6,-75.433
22,Kennett_Square,DBUK1,DE,DEOS,Chester,347,39.817,-75.733
23,Kennett_Square,DLWG,DE,DEOS,Chester,460,39.867,-75.683
24,Kitts_Hummock,DSJR,DE,DEOS,Kent,8,39.083,-75.433
25,Laurel,DLAU,DE,DEOS,Sussex,29,38.533,-75.6
26,Long_Neck,DLNK,DE,DEOS,Sussex,10,38.617,-75.117
27,Marshallton,DWBD,DE,DEOS,Chester,335,39.95,-75.717
28,Milford,DMIL,DE,DEOS,Sussex,40,38.883,-75.433
29,Newark,DAGF,DE,DEOS,New_Castle,106,39.667,-75.75
30,Nottingham,DNOT,DE,DEOS,Chester,440,39.75,-76.05
31,Sandtown,DSND,DE,DEOS,Kent,55,39.033,-75.733
